sample_id	q	d	d_sd	d_lower	d_upper	e	e_lower	e_upper
LivMet_27	0	8513.025	24.220394558363704	8465.553898974256	8560.496101025743	1	0.9944237094304618	1.0055762905695382
LivMet_27	0.2	8464.258700611093	26.557738328016995	8412.206489977341	8516.310911244846	0.9942715662894323	0.9881571462526354	1.000385986326229
LivMet_27	0.4	8407.958204759165	29.393918671342686	8350.347182798834	8465.569226719495	0.9876581126872251	0.9808907154388522	0.9944255099355982
LivMet_27	0.6000000000000001	8342.447318773911	32.916404281275206	8277.932351882051	8406.962285665772	0.9799627416545719	0.9723843583076581	0.9875411250014856
LivMet_27	0.8	8265.589351067945	37.40868188783692	8192.269681858668	8338.909020277222	0.9709344623172075	0.9623218164939805	0.9795471081404346
LivMet_27	1	8174.710930934931	43.29919385204045	8089.846070425313	8259.575791444548	0.9602592416837648	0.9502904162063794	0.9702280671611498
LivMet_27	1.2000000000000002	8066.213898401854	51.25144774461354	7965.762906666875	8166.664890136833	0.9475144144886047	0.9357147320331933	0.9593140969440161
LivMet_27	1.4000000000000001	7935.939082507708	62.218310658038114	7813.9934344390285	8057.8847305763875	0.932211415155918	0.9178868186618774	0.9465360116499585
LivMet_27	1.6	7778.605040100225	77.5524951799271	7626.604942636352	7930.605137564098	0.9137298480975006	0.8958748438582469	0.9315848523367544
LivMet_27	1.8	7588.165783252613	98.9903059868858	7394.148348699718	7782.183217805509	0.891359508899905	0.8685688516948696	0.9141501661049403
LivMet_27	2	7358.230923679223	128.46549264710157	7106.443184834709	7610.0186625237375	0.8643497374528119	0.8347729725725825	0.8939265023330412
LivMet_27	2.2	7083.127831764192	167.57860760498912	6754.679796279043	7411.57586724934	0.8320341866450753	0.7934523622659446	0.8706160110242059
LivMet_27	2.4000000000000004	6759.700816576256	216.6433142539727	6335.087723147077	7184.313910005436	0.7940421667475729	0.7441641159455161	0.8439202175496296
LivMet_27	2.6	6389.5953174666765	273.5553677600637	5853.436648879342	6925.753986054011	0.750566962679738	0.687585981349678	0.8135479440097981
LivMet_27	2.8000000000000003	5981.072105925728	333.2763977507534	5327.862369437005	6634.28184241445	0.7025789429639555	0.6258483170714294	0.7793095688564817
LivMet_27	3	5548.944569702995	388.84706294635913	4786.818330833952	6311.070808572038	0.6518181926756934	0.5622934656992024	0.7413429196521846
LivMet_27	3.2	5111.924727312759	433.8047701135441	4261.6830015685355	5962.166453056983	0.6004827575759215	0.5006073636067715	0.7003581515450716
LivMet_27	3.4000000000000004	4688.386550101198	464.4630386443743	3778.055722208189	5598.717377994207	0.5507309740193642	0.4437970900130317	0.6576648580256967
LivMet_27	3.6	4292.666789638284	480.5736655178726	3350.7597133048557	5234.573865971713	0.5042469380318141	0.3936038850238142	0.614889991039814
LivMet_27	3.8000000000000003	3933.3901987415657	484.3912836300136	2984.000728401613	4882.7796690815185	0.46204377395127655	0.35052178613379065	0.5735657617687624
LivMet_27	4	3613.8133389203294	479.2007940052151	2674.597041307111	4553.029636533548	0.4245040204768962	0.31417704532843627	0.5348309956253562
LivMet_27	4.2	3333.2628073061073	468.1881254620988	2415.6309434110735	4250.894671201141	0.3915485749549787	0.283757059730363	0.49934009017959435
LivMet_27	4.4	3088.7433191864766	453.89796934402744	2199.1196466163174	3978.366991756636	0.3628255901029865	0.25832411470849875	0.46732706549747427
LivMet_27	4.6000000000000005	2876.2156447033803	438.1288139375157	2017.4989487965993	3734.932340610161	0.3378605894735867	0.2369896656942273	0.43873151325294607
LivMet_27	4.800000000000001	2691.4259338890333	422.04178068389194	1864.2392437774529	3518.612624000614	0.3161538858266049	0.21898669906143267	0.4133210725917772
LivMet_27	5	2530.3604029933676	406.32863462165864	1733.9709132475818	3326.7498927391534	0.29723399179414695	0.20368446154540623	0.39078352204288763
LivMet_27	5.2	2389.447849674039	391.3652622394994	1622.386030884547	3156.509668463531	0.2806814087441349	0.19057691371569413	0.3707859037725757
LivMet_27	5.4	2265.6150945039954	377.327985933041	1526.065831716199	3005.164357291792	0.2661351393310833	0.179262463309599	0.35300781535256764
LivMet_27	5.6000000000000005	2156.2670648281537	364.2734574879565	1442.3042076278766	2870.229922028431	0.25329034800533934	0.16942323176871638	0.3371574642419623
LivMet_27	5.800000000000001	2059.234391935331	352.19029531454447	1368.9540974142983	2749.514686456364	0.2418922054070476	0.16080701013027665	0.3229774006838185
LivMet_27	6	1972.711691736136	341.0310687794994	1304.3030793191151	2641.1203041531567	0.23172863837897056	0.15321264524879408	0.31024463150914705
LivMet_27	6.2	1895.1978160671986	330.7314388530389	1246.9761073601312	2543.419524774266	0.22262331146298744	0.14647861451835642	0.29876800840761847
LivMet_27	6.4	1825.442780101905	321.22123178933316	1195.8607347252196	2455.0248254785906	0.21442939261918123	0.1404742420849486	0.28838454315341383
LivMet_27	6.6000000000000005	1762.4026905529602	312.4305863961834	1150.049993547711	2374.7553875582093	0.20702425877440278	0.13509298910172482	0.2789555284470807
LivMet_27	6.800000000000001	1705.202412116471	304.2931606150893	1108.798776569034	2301.6060476639077	0.20030511035929896	0.1302473300112515	0.2703628907073464
LivMet_27	7	1653.1050691652392	296.74762126749295	1071.4904189830208	2234.7197193474576	0.19418538876195468	0.12586482701307947	0.2625059505108299
LivMet_27	7.2	1605.4873092134624	289.73815754367126	1037.6109554808745	2173.3636629460502	0.18859187059987048	0.12188510611455676	0.2552986350851842
LivMet_27	7.4	1561.819298585424	283.21445966704306	1006.7291577370479	2116.9094394338	0.18346231787001965	0.1182575121930275	0.2486671235470118
LivMet_27	7.6000000000000005	1521.648548230253	277.1314219960957	978.4809421335342	2064.8161543269716	0.17874357801489518	0.11493927741707963	0.24254787861271074
LivMet_27	7.800000000000001	1484.5868153820986	271.4487201959721	952.557100148503	2016.6165306156943	0.17439004529906804	0.11189407997139712	0.23688601062673895
LivMet_27	8	1450.2994665778915	266.1303467838952	928.693571688302	1971.905361467481	0.17036241131417934	0.10909090149368784	0.23163392113467082
LivMet_27	8.200000000000001	1418.4968088404426	261.1441508055105	906.6636784883456	1930.3299391925395	0.1666266466785241	0.10650311475513646	0.22675017860191174
LivMet_27	8.4	1388.9269964106902	256.4614049206287	886.2718793417147	1891.5821134796656	0.1631531678117579	0.10410775010548128	0.2221985855180345
LivMet_27	8.6	1361.370201704106	252.05641027899304	867.3487154848283	1855.3916879233836	0.15991615221429586	0.10188490172234058	0.21794740270625115
LivMet_27	8.8	1335.6338039073034	247.9061423445359	849.7466933657531	1821.5209144488538	0.15689297328591228	0.09981724397211957	0.21396870259970502
LivMet_27	9	1311.5483997664658	243.98993694025955	833.3369107733582	1789.7598887595732	0.15406373172479415	0.09788963509132867	0.21023782835825963
LivMet_27	9.200000000000001	1288.9644813413513	240.28921383853995	818.0062763443696	1759.922686338333	0.15141086527307876	0.09608879057025788	0.20673293997589964
LivMet_27	9.4	1267.7496570918743	236.78723438287062	803.6552057026036	1731.844108481145	0.1489188222860704	0.09440301252523088	0.2034346320469099
LivMet_27	9.600000000000001	1247.7863174904878	233.46888940566737	790.1957027448149	1705.3769322361609	0.14657378751859507	0.09282196431289876	0.20032561072429142
LivMet_27	9.8	1228.9696658953906	230.32051381441252	777.5497539183821	1680.389577872399	0.14436345081746976	0.09133648191076404	0.1973904197241755
LivMet_27	10	1211.2060508412849	227.32972448782778	765.6479782297293	1656.7641234528405	0.1422768112206043	0.08993841533764195	0.19461520710356667
