sample_id	q	d	d_sd	d_lower	d_upper	e	e_lower	e_upper
LivMet_4	0	28881.52	31.442371309553597	28819.89408464474	28943.14591535526	1	0.9978662509675648	1.0021337490324354
LivMet_4	0.2	28793.17055216679	34.55037299406125	28725.453065446003	28860.888038887577	0.9969409695946332	0.994596304676693	0.9992856345125734
LivMet_4	0.4	28691.335168145946	38.31297945894001	28616.243108266	28766.427228025892	0.9934149992156212	0.9908149954803626	0.9960150029508797
LivMet_4	0.6000000000000001	28572.948079379734	42.96992567738862	28488.72857263369	28657.16758612578	0.9893159390288231	0.9863999045976004	0.9922319734600457
LivMet_4	0.8	28434.013983369696	48.888050209791956	28338.19516568412	28529.832801055272	0.9845054548157333	0.9811878033318232	0.9878231062996432
LivMet_4	1	28269.366109734423	56.64023355864363	28158.353291883544	28380.3789275853	0.9788046512002977	0.9749609193658625	0.982648383034733
LivMet_4	1.2000000000000002	28071.765517932974	67.16930972320237	27940.11609000908	28203.414945856868	0.9719628855383294	0.9674046272498498	0.9765211438268092
LivMet_4	1.4000000000000001	27832.200707238102	81.97615431813026	27671.53039718347	27992.871017292735	0.9636681416780731	0.9581050580850131	0.969231225271133
LivMet_4	1.6	27538.228746388184	103.5233408547943	27335.326726753523	27741.130766022845	0.9534895928742041	0.9464642694274236	0.9605149163209846
LivMet_4	1.8	27173.546633749786	135.70678277952445	26907.566227044117	27439.527040455454	0.9408627604693169	0.9316533972950217	0.950072123643612
LivMet_4	2	26717.085919144418	184.41053232282474	26355.647917421822	27078.523920867014	0.9250581658840815	0.9125436582777438	0.9375726734904193
LivMet_4	2.2	26142.729596844463	257.8271840204783	25637.397601928944	26648.061591759983	0.905171528259055	0.8876748038859777	0.9226682526321324
LivMet_4	2.4000000000000004	25420.519906402315	365.860722930054	24703.44606610162	26137.59374670301	0.880165583612023	0.8553374637519638	0.9049937034720821
LivMet_4	2.6	24520.8578117372	517.4428810676936	23506.68840078788	25535.027222686524	0.8490154885108956	0.8139006673051792	0.884130309716612
LivMet_4	2.8000000000000003	23423.071806867734	714.9214594717363	22021.85149452832	24824.292119207148	0.8110055082581434	0.7624893528639878	0.859521663652299
LivMet_4	3	22127.550048125442	947.4028590548411	20270.674565527675	23984.42553072321	0.7661490824626073	0.7018562238250506	0.830441941100164
LivMet_4	3.2	20666.027747430773	1188.9868597386046	18335.656324251733	22996.399170609813	0.7155450179710339	0.6348577333967095	0.7962323025453582
LivMet_4	3.4000000000000004	19101.59316408297	1406.6343376267416	16344.640522917201	21858.545805248737	0.6613776963291049	0.565920371328005	0.7568350213302049
LivMet_4	3.6	17514.719413141236	1573.5640212517114	14430.590604119861	20598.84822216261	0.6064334360913566	0.49964789263583986	0.7132189795468733
LivMet_4	3.8000000000000003	15982.135601084767	1678.3165094167755	12692.69568796891	19271.575514200624	0.5533689224488451	0.439474642884755	0.667263202012935
LivMet_4	4	14560.345385935865	1724.5568990941567	11180.275974421242	17940.41479745049	0.5041405502873764	0.38710829535361163	0.621172805221141
LivMet_4	4.2	13280.168045563594	1724.7920371779608	9899.637771873322	16660.69831925387	0.4598154129548443	0.3427672010293545	0.5768636248803342
LivMet_4	4.4	12150.384701642275	1693.6553656231538	8830.881182797877	15469.888220486673	0.4206975499088093	0.30576234155258714	0.5356327582650315
LivMet_4	4.6000000000000005	11165.100070586786	1643.8176598164455	7943.276660195639	14386.923480977934	0.3865828415743626	0.2750297304364742	0.4981359527122511
LivMet_4	4.800000000000001	10310.700163441807	1584.592894455843	7204.955160150275	13416.445166733338	0.35699991425111305	0.24946592700627512	0.464533901495951
LivMet_4	5	9570.770206492069	1522.1171324287175	6587.475446680399	12554.064966303738	0.3313804192609	0.22808617575115156	0.4346746627706484
