sample_id	q	d	d_sd	d_lower	d_upper	e	e_lower	e_upper
LivMet_82	0	23661.24	41.52703787139	23579.848501387445	23742.631498612558	1	0.9965601338470614	1.0034398661529387
LivMet_82	0.2	23501.34039429195	45.52706642690269	23412.108983773458	23590.571804810443	0.9932421290808068	0.9894709230696893	0.9970133350919242
LivMet_82	0.4	23316.454036543826	50.44463298194674	23217.58437268587	23415.323700401783	0.9854282377653845	0.9812496882110096	0.9896067873197593
LivMet_82	0.6000000000000001	23100.691086613762	56.67979878976867	22989.60072233484	23211.781450892686	0.9763094024917444	0.9716143668858791	0.9810044380976096
LivMet_82	0.8	22846.315442676674	64.8811863182247	22719.15065421872	22973.48023113463	0.9655586707491524	0.9601842783479952	0.9709330631503094
LivMet_82	1	22543.264397756222	76.11447276612492	22394.08277243236	22692.446023080083	0.9527507602203528	0.9464458655773053	0.9590556548634003
LivMet_82	1.2000000000000002	22177.50075775376	92.17886150949325	21996.833509059248	22358.168006448275	0.9372924139966359	0.9296568357811867	0.944927992212085
LivMet_82	1.4000000000000001	21731.746272782046	115.94807963966323	21504.492212611724	21959.000332952368	0.9184533977417094	0.9088489112409883	0.9280578842424305
LivMet_82	1.6	21183.047210071218	151.89421427809074	20885.34002062615	21480.754399516285	0.8952636129835637	0.8826815509510976	0.9078456750160298
LivMet_82	1.8	20503.64552154626	206.26945540119468	20099.364817849226	20907.926225243293	0.8665499154543996	0.8494637144058902	0.8836361165029091
LivMet_82	2	19663.02672653903	286.4109807198516	19101.671519551324	20224.381933526733	0.8310226651916395	0.8072979911260493	0.8547473392572296
LivMet_82	2.2	18634.356565041904	398.06710865194486	17854.1593686541	19414.55376142971	0.7875477601783297	0.7545741207415206	0.8205213996151389
LivMet_82	2.4000000000000004	17406.66164686697	540.2022715832643	16347.884650197047	18465.438643536894	0.7356614296996679	0.6909141131317313	0.7804087462676045
LivMet_82	2.6	16000.287693338656	699.6325858665176	14629.033022629656	17371.54236404766	0.6762235492873009	0.6182699225665964	0.7341771760080054
LivMet_82	2.8000000000000003	14475.884490107232	851.6277468355709	12806.724778074518	16145.044202139945	0.6117973736840179	0.5412533230749749	0.6823414242930609
LivMet_82	3	12924.917016351548	969.9584332098154	11023.83342075941	14826.000611943686	0.5462485066865281	0.46590260784132237	0.626594405531734
LivMet_82	3.2	11442.194044144824	1039.5338381786164	9404.745160604049	13479.6429276856	0.4835838715191944	0.3974747376132463	0.5696930054251425
LivMet_82	3.4000000000000004	10097.94866130514	1060.932353704935	8018.559458010158	12177.337864600122	0.42677174405505114	0.3388900775280652	0.5146534105820372
LivMet_82	3.6	8926.284151873191	1045.2958801961918	6877.5418735005605	10975.026430245822	0.37725343861408744	0.2906670095692601	0.4638398676589148
LivMet_82	3.8000000000000003	7930.548222438385	1006.4788460470177	5957.885932984797	9903.210511891974	0.3351704400292793	0.2517993956776905	0.41854148438086813
LivMet_82	4	7095.643077022179	956.0465507569879	5221.826269994738	8969.45988404962	0.2998846669499222	0.2206911501677316	0.37907818373211294
LivMet_82	4.2	6398.929075135783	901.8206117475006	4631.393155594803	8166.464994676763	0.2704392954526383	0.19573755033949203	0.3451410405657845
LivMet_82	4.4	5816.960897248046	848.3675035703777	4154.19114459595	7479.7306499001425	0.24584345102995642	0.1755694606282659	0.31611744143164694
LivMet_82	4.6000000000000005	5328.657821023164	798.0112404520529	3764.5845304790073	6892.73111156732	0.22520619464673716	0.15910343373715863	0.2913089555563157
LivMet_82	4.800000000000001	4916.315926788702	751.7202578321088	3442.9712949886057	6389.660558588799	0.20777930179435658	0.14551102541492353	0.27004757817378966
LivMet_82	5	4565.571329923292	709.716054574304	3174.5534237077927	5956.589236138791	0.19295570857331618	0.13416682404251817	0.2517445931041142
LivMet_82	5.2	4264.9598481485755	671.8433023863264	2948.171172216923	5581.748524080228	0.18025090181869485	0.12459918297675535	0.23590262066063433
LivMet_82	5.4	4005.387328597002	637.7787487872166	2755.3639508690394	5255.410706324965	0.169280533420776	0.1164505305245642	0.2221105363169878
LivMet_82	5.6000000000000005	3779.6402631190103	607.1425919543052	2589.6626494082743	4969.617876829747	0.15973973735607305	0.10944746130837919	0.21003201340376695
LivMet_82	5.800000000000001	3581.977199856025	579.5544622073894	2446.071326850062	4717.883072861988	0.15138586142805807	0.10337883081571642	0.19939289204039973
LivMet_82	6	3407.8034737185226	554.6592513197576	2320.691317439848	4494.915629997197	0.1440247203324307	0.09807986890965341	0.18996957175520798
LivMet_82	6.2	3253.418211823668	532.1371107508272	2210.448639914845	4296.387783732491	0.1374999032943188	0.09342065926869618	0.1815791473199414
LivMet_82	6.4	3115.8195930013494	511.7054743742114	2112.8952925359117	4118.743893466787	0.13168454370951604	0.08929774147660527	0.1740713459424268
LivMet_82	6.6000000000000005	2992.555418371297	493.11730875323644	2026.0632530616358	3959.0475836809583	0.12647500377711807	0.08562794059236269	0.16732206696187343
LivMet_82	6.800000000000001	2881.608319905865	476.1577868942806	1948.3562066347768	3814.860433176953	0.12178602304468678	0.0823437912228935	0.16122825486648007
LivMet_82	7	2781.3072525004795	460.64049849051366	1878.4684656384957	3684.1460393624634	0.1175469777788687	0.07939011081576855	0.15570384474196886
LivMet_82	7.2	2690.2588972997455	446.40373406208863	1815.3236559738557	3565.1941386256353	0.11369898184963026	0.07672140834435792	0.15067655535490257
LivMet_82	7.4	2607.2941762058317	433.3070793968801	1758.0279063417092	3456.560446069954	0.11019262626159201	0.07429990593653203	0.146085346586652
LivMet_82	7.6000000000000005	2531.426279415288	421.2284028858439	1705.8337804937062	3357.018778336869	0.10698620526292314	0.0720940145357431	0.14187839599010318
LivMet_82	7.800000000000001	2461.817509791757	410.0612427225174	1658.1122425998856	3265.5227769836283	0.10404431508203953	0.07007714906741512	0.13801148109666392
LivMet_82	8	2397.7529189078086	399.7125663664134	1614.3306846615624	3181.175153154055	0.10133673970205316	0.06822679980683863	0.13444667959726772
LivMet_82	8.200000000000001	2338.619207378241	390.10086127240413	1574.035568946273	3103.2028458102086	0.0988375591210875	0.06652379879272062	0.1311513194494544
LivMet_82	8.4	2283.887731631257	381.15451307292227	1536.8386134634281	3030.9368497990854	0.09652443116384672	0.06495173598101486	0.12809712634667858
LivMet_82	8.6	2233.1007343627457	372.8104295734147	1502.4057193379467	2963.7957493875447	0.09437800953638717	0.06349649128016734	0.125259527792607
LivMet_82	8.8	2185.8601215928543	365.01287317135706	1470.448036283508	2901.2722069022007	0.09238146950848114	0.06214585694931913	0.12261708206764313
LivMet_82	9	2141.8182637982727	357.71246915734804	1440.7147074289758	2842.9218201675694	0.09052011913992135	0.06088923097136818	0.1201510073084745
LivMet_82	9.200000000000001	2100.6704153836104	350.8653620883183	1412.9869422679012	2788.3538884993195	0.08878107890303341	0.05971736655677814	0.11784479124928868
LivMet_82	9.4	2062.1484355252837	344.43249672389464	1387.0731468412403	2737.223724209327	0.08715301630537045	0.05862216632945865	0.11568386628128224
LivMet_82	9.600000000000001	2026.015561295997	338.37900378012955	1362.8049007624004	2689.2262218295937	0.08562592498516548	0.05759651230292243	0.11365533766740854
LivMet_82	9.8	1992.062036184777	332.6736739748584	1340.033616589435	2644.090455780119	0.08419093995854726	0.056634124694624415	0.11174775522247012
LivMet_82	10	1960.101437519695	327.28850655743327	1318.6277521132247	2601.5751229261655	0.08284018240462862	0.055729444108306436	0.1099509207009508
