sample_id	q	d	d_sd	d_lower	d_upper	e	e_lower	e_upper
LivMet_47	0	21143.995	31.281747290837817	21082.683901936474	21205.306098063524	1	0.9971003068216993	1.0028996931783007
LivMet_47	0.2	21058.9336411459	34.16226233011365	20991.97683734847	21125.890444943332	0.9959770441274651	0.9928103386965647	0.9991437495583655
LivMet_47	0.4	20962.404653103764	37.60692272515388	20888.69643899308	21036.112867214448	0.9914117295763533	0.987925717868978	0.9948977412837285
LivMet_47	0.6000000000000001	20852.210483103383	41.80695234014947	20770.27036221331	20934.150603993457	0.9862001236333713	0.9823247859363053	0.9900754613304372
LivMet_47	0.8	20725.608382681363	47.045271229581154	20633.401345428465	20817.81541993426	0.9802125086901204	0.9758515997297799	0.9845734176504611
LivMet_47	1	20579.235883405105	53.744486386780785	20473.898625719412	20684.573141090797	0.9732898576359437	0.9683079581564134	0.9782717571154741
LivMet_47	1.2000000000000002	20408.52498087729	62.56590137517478	20285.898067521663	20531.151894232917	0.9652161278356948	0.9594165183789376	0.9710157372924519
LivMet_47	1.4000000000000001	20208.26163296153	74.48839388206619	20062.267063686446	20354.256202236615	0.9557447224595698	0.9488399455110752	0.9626494994080643
LivMet_47	1.6	19971.543886465268	91.00328647733834	19793.180722494904	20149.90705043563	0.9445492153429506	0.9361135737354698	0.9529848569504312
LivMet_47	1.8	19689.940400166855	114.27624979150377	19465.963066287204	19913.917734046507	0.9312308482936577	0.9206378958322307	0.9418238007550848
LivMet_47	2	19353.28738518906	147.3050922482289	19064.574709643184	19642.00006073494	0.915308927437273	0.9016543330455378	0.9289635218290082
LivMet_47	2.2	18949.85663452095	193.93547261685617	18569.750092867158	19329.963176174744	0.8962287701317065	0.8782517255072733	0.9142058147561397
LivMet_47	2.4000000000000004	18467.109871026834	258.53899001779695	17960.38276199259	18973.836980061078	0.8733973816692084	0.8494318487113051	0.8973629146271118
LivMet_47	2.6	17893.41496869525	345.075440424479	17217.079533513977	18569.750403876526	0.8462646235347319	0.8142775068530794	0.8782517402163842
LivMet_47	2.8000000000000003	17220.987586153613	455.3519067446246	16328.514248642508	18113.46092366472	0.8144623372335084	0.7722530320614676	0.8566716424055492
LivMet_47	3	16449.774386320038	586.8173979063305	15299.63342092212	17599.915351717955	0.7779880002014775	0.7235923684678378	0.8323836319351171
LivMet_47	3.2	15590.971111531804	731.1502057795498	14157.943040914837	17023.99918214877	0.7373711122960351	0.6695964050745773	0.8051458195174929
LivMet_47	3.4000000000000004	14668.036105450588	875.2618114381921	12952.554477988444	16383.517732912733	0.6937211300631971	0.6125878519167473	0.7748544082096469
LivMet_47	3.6	13713.652116535846	1004.9930112333558	11743.902009804011	15683.402223267682	0.6485837759863189	0.555424933169158	0.7417426188034798
LivMet_47	3.8000000000000003	12763.356918718435	1109.518491391133	10588.7406354106	14937.973202026269	0.6036398002704046	0.500791862437094	0.7064877381037155
LivMet_47	4	11848.683359936658	1183.8688180974495	9528.343114045656	14169.02360582766	0.5603805411388273	0.45064062463340804	0.6701204576442465
LivMet_47	4.2	10992.630346383186	1228.6914682222796	8584.439320555879	13400.821372210494	0.5198937261564424	0.4059989288001572	0.6337885235127276
LivMet_47	4.4	10208.448140079161	1248.2865446229382	7761.851470232252	12655.04480992607	0.48280602317959126	0.3670948404136613	0.5985172059455213
