sample_id	q	d	d_sd	d_lower	d_upper	e	e_lower	e_upper
LivMet_3	0	4881.12	15.952681285633616	4849.853319223312	4912.386680776688	1	0.9935943634295636	1.0064056365704364
LivMet_3	0.2	4860.672357836417	17.399435783872118	4826.57009034871	4894.774625324124	0.9958108708321896	0.9888243047392219	1.0027974369251573
LivMet_3	0.4	4837.703555425753	19.105910863992396	4800.256658240495	4875.15045261101	0.9911052290100946	0.983433445242177	0.9987770127780121
LivMet_3	0.6000000000000001	4811.801627035284	21.144942174158988	4770.35830191875	4853.244952151817	0.9857986746966442	0.9773081386892251	0.9942892107040633
LivMet_3	0.8	4782.474897811745	23.615507745751678	4736.189353153445	4828.760442470045	0.97979047796648	0.9703079115353537	0.9892730443976064
LivMet_3	1	4749.154731870213	26.65099420547719	4696.919743075292	4801.3897206651345	0.9729641418097104	0.9622627067302775	0.9836655768891432
LivMet_3	1.2000000000000002	4711.090601618056	30.440592437159314	4651.428136773162	4770.75306646295	0.9651659048779904	0.9529427952546059	0.9773890145013747
LivMet_3	1.4000000000000001	4667.512636991472	35.22810396243782	4598.466821981461	4736.558452001484	0.956238043111309	0.942092557032292	0.9703835291903259
LivMet_3	1.6	4617.4426660745285	41.34551399945865	4536.4069477132925	4698.478384435764	0.9459801574381553	0.929378287711282	0.9625820271650286
LivMet_3	1.8	4559.782128598891	49.21774701024356	4463.31711705861	4656.247140139172	0.9341671847032835	0.9144043000497039	0.9539300693568632
LivMet_3	2	4493.313090506164	59.365258229820036	4376.959322442797	4609.6668585695315	0.920549605522127	0.896712091168174	0.94438711987608
LivMet_3	2.2	4416.750763192981	72.37836557616627	4274.891773403821	4558.609752982141	0.9048642039517532	0.8758014089806891	0.933926998922817
LivMet_3	2.4000000000000004	4328.846726349375	88.84634626018372	4154.71108752144	4502.9823651773095	0.8868552148583471	0.8511798700956831	0.922530559621011
LivMet_3	2.6	4228.557438295365	109.22517286084626	4014.480033282944	4442.634843307785	0.866308846800604	0.8224505919303242	0.9101671016708839
LivMet_3	2.8000000000000003	4115.278110050813	133.6469356159305	3853.334929599446	4377.22129050218	0.8431011960473852	0.7894366312648421	0.8967657608299283
LivMet_3	3	3989.110262056145	161.71627262598906	3672.152191995146	4306.068332117145	0.817253061194182	0.7523175402356725	0.8821885821526914
LivMet_3	3.2	3851.088679910394	192.3895255361282	3474.012138856834	4228.165220963954	0.7889764398151232	0.7117243867917269	0.8662284928385195
LivMet_3	3.4000000000000004	3703.2670124776378	224.04284410286994	3264.1511070420906	4142.382917913184	0.7586920650337705	0.668729944570527	0.8486541854970139
LivMet_3	3.6	3548.586573943877	254.7603158478363	3049.265530192069	4047.9076176956846	0.7270025268675789	0.62470611871703	0.8292989350181279
LivMet_3	3.8000000000000003	3390.5354741411934	282.74252887842545	2836.3703006417036	3944.700647640683	0.6946224379120353	0.5810900573314534	0.8081548184926172
LivMet_3	4	3232.697001099037	306.6588565188962	2631.6566867817646	3833.7373154163097	0.6622859100163563	0.53915017184207	0.7854216481906426
LivMet_3	4.2	3078.3242045917996	325.81331176099945	2439.7418478565205	3716.9065613270786	0.6306593987838446	0.49983238434140537	0.7614864132262839
LivMet_3	4.4	2930.0448554221307	340.11169708511744	2263.4381784145044	3596.651532429757	0.6002812582813228	0.463712872950164	0.7368496436124818
LivMet_3	4.6000000000000005	2789.7328109747214	349.90546666875554	2103.9306983102806	3475.534923639162	0.5715353875698039	0.4310344138866245	0.7120363612529834
LivMet_3	4.800000000000001	2658.522899891909	355.80330872114325	1961.1612292182826	3355.884570565536	0.5446542801430633	0.4017850880982813	0.6875234721878454
LivMet_3	5	2536.9178284586046	358.51071273719504	1834.2497434219172	3239.585913495292	0.5197409259470377	0.3757846034151828	0.6636972484788926
LivMet_3	5.2	2424.9345938275505	358.7200885781883	1721.8561396832836	3128.0130479718173	0.4967988072056312	0.3527584119389164	0.6408392024723459
LivMet_3	5.4	2322.25176550256	357.04928983428107	1622.448016721766	3022.0555142833537	0.4757620721274134	0.3323925690664778	0.6191315751883489
LivMet_3	5.6000000000000005	2228.3360523682836	354.01622483161566	1534.477001755483	2922.1951029810843	0.45652146482124667	0.314369858097216	0.5986730715452774
LivMet_3	5.800000000000001	2142.5402498331996	350.0361707225058	1456.4819619307746	2828.5985377356246	0.43894439182671185	0.2983909352629672	0.5794978483904565
LivMet_3	6	2064.173107129958	345.4311774804313	1387.1404401310497	2741.205774128867	0.42288923589871963	0.2841848674343285	0.5615936043631107
LivMet_3	6.2	1992.5456362884627	340.444459141148	1325.2867576355948	2659.8045149413306	0.40821484337374675	0.2715128408307099	0.5449168459167836
LivMet_3	6.4	1926.9994688407826	335.255608407083	1269.9105507478362	2584.088386933729	0.3947863336367028	0.26016786121788366	0.5294048060555219
LivMet_3	6.6000000000000005	1866.922447176177	329.99452181560673	1220.1450693220709	2513.699825030283	0.38247829333763095	0.24997235661529954	0.5149842300599623
LivMet_3	6.800000000000001	1811.7556406419626	324.7531899402169	1175.2510844946423	2448.260196789283	0.3711762137874018	0.24077488045666617	0.5015775471181374
LivMet_3	7	1760.9949049103873	319.59520886863265	1134.5998058963114	2387.390003924463	0.3607768104267847	0.23244661182194076	0.4891070090316286
LivMet_3	7.2	1714.1891765169123	314.56320935303637	1097.656615323628	2330.7217377101965	0.35118767342677754	0.22487802293810194	0.47749732391545313
LivMet_3	7.4	1670.9369753604144	309.6845299191286	1063.9664501497057	2277.907500571123	0.3423265511522795	0.2179758846637054	0.4666772176408535
