sample_id	q	d	d_sd	d_lower	d_upper	e	e_lower	e_upper
LivMet_83	0	32348.6	51.40791640736603	32247.842335321315	32449.357664678682	1	0.9968852542404096	1.0031147457595904
LivMet_83	0.2	32101.776390844312	56.400449419484964	31991.23354127025	32212.319240418376	0.9923698828030986	0.9889526452851205	0.9957871203210765
LivMet_83	0.4	31818.657335060387	62.46106918912586	31696.235889013835	31941.07878110694	0.9836177557934621	0.9798333123848895	0.9874021992020348
LivMet_83	0.6000000000000001	31491.946436530998	69.95863496841044	31354.83003158533	31629.062841476665	0.9735180637347829	0.969279351551082	0.9777567759184839
LivMet_83	0.8	31112.693825820104	79.41410896163522	30957.04503239096	31268.342619249248	0.9617941371750278	0.9569825288386812	0.9666057455113745
LivMet_83	1	30670.258886169555	91.54904129605077	30490.826062410124	30849.691709928986	0.9481170401862694	0.94257019043823	0.953663889934309
LivMet_83	1.2000000000000002	30150.919572731884	107.37975805348714	29940.459114278423	30361.380031185345	0.9320625799178909	0.9255565654859383	0.9385685943498434
LivMet_83	1.4000000000000001	29540.294581729297	128.19308377310475	29289.040754466885	29791.548408991708	0.9131861836904626	0.9054191141028325	0.9209532532780927
LivMet_83	1.6	28821.44212150975	155.60507030549144	28516.461787899163	29126.422455120337	0.8909641258511883	0.8815361959373563	0.9003920557650203
LivMet_83	1.8	27977.35365383637	191.39536947204613	27602.22562286342	28352.481684809318	0.864870617394149	0.8532741949532104	0.8764670398350878
LivMet_83	2	26993.20925323378	237.17743100235901	26528.350030523423	27458.06847594414	0.8344475264225896	0.8200772222143593	0.84881783063082
LivMet_83	2.2	25860.294767873467	293.7960664536664	25284.465058824746	26436.12447692219	0.799425470279192	0.7816247089155248	0.817226231642859
LivMet_83	2.4000000000000004	24580.982043634674	360.52440809993107	23874.36718821119	25287.59689905816	0.7598777704022639	0.7380340165636593	0.7817215242408686
LivMet_83	2.6	23173.356220593614	434.3749199267675	22321.99702174968	24024.715419437547	0.7163634970475883	0.6900452267408692	0.7426817673543074
LivMet_83	2.8000000000000003	21673.044141064795	510.06935142885516	20673.326582646536	22672.761699483053	0.6699839913030176	0.6390794835834174	0.7008884990226179
LivMet_83	3	20129.958153460637	581.0792098035457	18991.063830080693	21268.85247684058	0.6222822055192694	0.5870752932145655	0.6574891178239732
LivMet_83	3.2	18599.866300843223	641.4761217102064	17342.596205348786	19857.13639633766	0.5749821105347133	0.5361158197062249	0.6138484013632015
LivMet_83	3.4000000000000004	17133.841632389453	687.6197274848513	15786.131731459898	18481.55153331901	0.5296625397200946	0.48800046157978705	0.5713246178604023
LivMet_83	3.6	15770.01781832179	718.7657217207628	14361.262890427157	17178.772746216426	0.48750232833327534	0.4439531506905139	0.5310515059760369
LivMet_83	3.8000000000000003	14530.369560726693	736.4975832265171	13086.860822901928	15973.878298551457	0.4491807855896915	0.4045572551177463	0.4938043160616366
LivMet_83	4	13422.188869465135	743.6024952012414	11964.754760056585	14879.622978873685	0.4149233311322634	0.369869322321726	0.4599773399428008
LivMet_83	4.2	12442.071659355444	743.061767477452	10985.697356810962	13898.445961899926	0.38462473366252153	0.3396034869147649	0.42964598041027824
LivMet_83	4.4	11580.247673483855	737.4563984132305	10134.859692425302	13025.635654542408	0.35798296289434023	0.31330133892735085	0.40266458686132967
LivMet_83	4.6000000000000005	10824.045772651887	728.7575862119389	9395.707150216143	12252.38439508763	0.33460631287449494	0.2904517398037672	0.3787608859452227
LivMet_83	4.800000000000001	10160.187073130406	718.3485715610541	8752.249744524946	11568.124401735866	0.31408429029789253	0.27056038729728477	0.3576081932985003
LivMet_83	5	9576.078393109165	707.1408768055892	8190.107742574135	10962.049043644194	0.2960275991266752	0.2531827572931792	0.3388724409601712
LivMet_83	5.2	9060.414235868058	695.704597915736	7696.858280074297	10423.97019166182	0.2800867498398094	0.23793481881980355	0.3222386808598153
LivMet_83	5.4	8603.362340327749	684.3785997467778	7262.004933034112	9944.719747621386	0.26595779540158615	0.22449209341467982	0.30742349738849245
LivMet_83	5.6000000000000005	8196.52710072334	673.3524117571792	6876.780624776085	9516.273576670596	0.2533812004452539	0.2125835623419896	0.29417883854851823
LivMet_83	5.800000000000001	7832.811151106717	662.7227095190398	6533.898508712599	9131.723793500834	0.24213756240167172	0.20198396557231532	0.2822911592310281
LivMet_83	6	7506.242696057446	652.5304122118627	6227.30658930512	8785.178802809773	0.2320422737323237	0.19250621632173015	0.27157833114291724
LivMet_83	6.2	7211.803143310559	642.7842034135388	5951.969254788755	8471.637031832362	0.22294019349556268	0.18399464752071976	0.2618857394704056
LivMet_83	6.4	6945.27058673088	633.4750243029648	5703.682353991433	8186.858819470326	0.214700808898403	0.17631929523971465	0.2530823225570914
LivMet_83	6.6000000000000005	6703.084495827122	624.5847717135969	5478.9208379763	7927.248153677943	0.20721405241114366	0.16937118879878266	0.24505691602350468
LivMet_83	6.800000000000001	6482.231909487258	616.0913727340277	5274.715007742722	7689.748811231794	0.200386783647121	0.1630585251832451	0.2377150421109969
LivMet_83	7	6280.153194276251	607.9716431845314	5088.550670012934	7471.755718539569	0.19413987604645183	0.15730358253565638	0.23097616955724729
LivMet_83	7.2	6094.66465735499	600.2028189582633	4918.28874877738	7271.0405659326	0.1884058245907084	0.15204023508829995	0.22477141409311685
LivMet_83	7.4	5923.895246520022	592.763310661249	4762.100506267247	7085.689986772797	0.18312678899612417	0.1472119506336363	0.21904162735861205
LivMet_83	7.6000000000000005	5766.234822527034	585.6330164170801	4618.415202192004	6914.054442862065	0.17825299464357142	0.14277017250180854	0.21373581678533432
LivMet_83	7.800000000000001	5620.291846756878	578.7933930186392	4485.877641950608	6754.706051563147	0.1737414245672727	0.1386730072383537	0.20880984189619173
LivMet_83	8	5484.858692448749	572.2274027668371	4363.313592058853	6606.403792838645	0.16955474711266483	0.13488415548304572	0.2042253387422839
